local,value,latitude,longitude
2017-10-28,217.01333333333332,28.56480000000005,77.17439999999993
2017-10-29,219.44155844155844,28.56480000000005,77.17439999999993
2017-10-30,205.0,28.564799999999995,77.17440000000002
2017-10-31,296.4375,28.564799999999995,77.17440000000002
2017-11-01,178.34782608695653,28.56480000000002,77.17439999999998
2017-11-02,210.04444444444445,28.56480000000002,77.17439999999998
2017-11-03,205.21666666666667,28.56480000000004,77.17439999999995
2017-11-04,239.7258064516129,28.56480000000004,77.17439999999995
2017-11-05,210.2280701754386,28.564800000000037,77.17439999999996
2017-11-06,279.73333333333335,28.56480000000004,77.17439999999995
2017-11-07,512.8,28.564800000000034,77.17439999999996
2017-11-08,711.0,28.564800000000034,77.17439999999996
2017-11-09,472.6304347826087,28.56480000000002,77.17439999999998
2017-11-10,330.95652173913044,28.564800000000048,77.17439999999995
2017-11-11,417.5217391304348,28.564800000000048,77.17439999999995
2017-11-12,445.32394366197184,28.56480000000005,77.17439999999995
2017-11-13,343.54237288135596,28.56480000000004,77.17439999999995
2017-11-14,285.9344262295082,28.56480000000004,77.17439999999995
2017-11-15,180.125,28.564799999999995,77.17440000000002
2017-11-16,209.61904761904762,28.564799999999998,77.17440000000003
2017-11-17,153.36363636363637,28.564799999999995,77.1744
2017-11-18,,,
2017-11-19,169.0,28.5648,77.1744
2017-11-20,167.36363636363637,28.564799999999995,77.1744
2017-11-21,237.0,28.564799999999995,77.1744
2017-11-22,176.04347826086956,28.564799999999995,77.17440000000005
2017-11-23,181.85714285714286,28.564799999999995,77.1744
2017-11-24,196.75,28.564799999999998,77.1744
2017-11-25,246.8,28.564799999999995,77.17440000000002
2017-11-26,299.0,28.5648,77.1744
2017-11-27,239.76470588235293,28.564799999999995,77.1744
2017-11-28,183.55555555555554,28.564799999999998,77.17440000000003
