,Cloud_Fraction,AOD,Location,Date,PM25
1058,0.370000017574057,0.7140000339131802,Sirifort,2017-06-11,49.98484848484848
1060,0.709000033675693,0.8500000403728336,NSIT Dwarka,2017-06-11,63.6936170212766
1061,0.370000017574057,0.7140000339131802,US Diplomatic Post: New Delhi,2017-06-11,41.25
1062,0.370000017574057,0.7140000339131802,R K Puram,2017-06-11,60.29545454545455
1063,0.09400000446476042,0.5620000266935676,R K Puram,2017-06-12,72.25
1064,0.09400000446476042,0.5620000266935676,Mandir,2017-06-12,53.08823529411765
1065,0.012000000569969416,0.7440000353381038,NSIT Dwarka,2017-06-12,130.52325581395348
1066,0.09400000446476042,0.5620000266935676,Shadipur,2017-06-12,66.49476190476193
1067,0.09400000446476042,0.5620000266935676,Sirifort,2017-06-12,56.02985074626866
1068,0.09400000446476042,0.5620000266935676,Punjabi Bagh,2017-06-12,47.555555555555564
1069,0.09400000446476042,0.5620000266935676,US Diplomatic Post: New Delhi,2017-06-12,43.54166666666666
1070,0.09400000446476042,0.5620000266935676,ITO,2017-06-12,49.5
1071,0.001000000047497451,0.7270000345306471,Punjabi Bagh,2017-06-13,38.620689655172406
1072,0.009500000451225787,0.7500000356230885,US Diplomatic Post: New Delhi,2017-06-13,39.083333333333336
1073,0.009500000451225787,0.7500000356230885,R K Puram,2017-06-13,74.48275862068967
1074,0.018500000878702853,0.8140000386629254,NSIT Dwarka,2017-06-13,134.0083333333333
1075,0.001000000047497451,0.7270000345306471,Shadipur,2017-06-13,59.58195652173915
1076,0.009500000451225787,0.7500000356230885,Sirifort,2017-06-13,45.37313432835821
1077,0.009500000451225787,0.7500000356230885,ITO,2017-06-13,101.55813953488372
1078,0.009500000451225787,0.7500000356230885,Mandir,2017-06-13,85.85714285714286
1079,0.33200001576915383,1.0030000476399437,Mandir,2017-06-14,124.3720930232558
1080,0.6620000314433128,1.4170000673038885,R K Puram,2017-06-14,99.85106382978724
1081,0.2240000106394291,1.2840000609867277,ITO,2017-06-14,101.80769230769229
1082,0.14200000674463809,1.414000067161396,Punjabi Bagh,2017-06-14,59.22916666666666
1083,0.6620000314433128,1.4170000673038885,Sirifort,2017-06-14,68.06666666666666
1084,0.33200001576915383,1.0030000476399437,Shadipur,2017-06-14,59.92391304347825
1085,0.2240000106394291,1.2840000609867277,US Diplomatic Post: New Delhi,2017-06-14,50.41666666666666
1086,0.007333333681647978,0.7856667039838309,R K Puram,2017-06-15,118.45
1087,0.011000000522471966,0.6815000323695131,Mandir,2017-06-15,164.95121951219508
1088,0.007333333681647978,0.7130000338656828,Sirifort,2017-06-15,77.76
1089,0.015500000736210497,0.6730000319657847,Shadipur,2017-06-15,70.01787234042553
1090,0.007333333681647978,0.7856667039838309,NSIT Dwarka,2017-06-15,151.55135135135143
1091,0.05200000246986747,0.6845000325120054,ITO,2017-06-15,72.54
1092,0.14700000698212537,0.5920000281184912,US Diplomatic Post: New Delhi,2017-06-15,65.20833333333333
1093,0.015500000736210497,0.6730000319657847,Punjabi Bagh,2017-06-15,66.8888888888889
