local,location,city,country,value,unit,latitude,longitude
2015-07-01 01:30:00,RK Puram,Delhi,IN,42.0,µg/m³,28.5648,77.1744
2015-07-01 01:30:00,Mandir Marg,Delhi,IN,34.0,µg/m³,28.6341,77.2005
2015-07-01 01:30:00,Punjabi Bagh,Delhi,IN,73.0,µg/m³,28.6683,77.1167
2015-07-01 01:40:00,Anand Vihar,Delhi,IN,49.0,µg/m³,28.6508,77.3152
2015-07-01 02:10:00,RK Puram,Delhi,IN,42.0,µg/m³,28.5648,77.1744
2015-07-01 02:20:00,Mandir Marg,Delhi,IN,34.0,µg/m³,28.6341,77.2005
2015-07-01 02:20:00,Anand Vihar,Delhi,IN,49.0,µg/m³,28.6508,77.3152
2015-07-01 02:20:00,Punjabi Bagh,Delhi,IN,73.0,µg/m³,28.6683,77.1167
2015-07-01 02:30:00,RK Puram,Delhi,IN,38.0,µg/m³,28.5648,77.1744
2015-07-01 02:30:00,Punjabi Bagh,Delhi,IN,59.0,µg/m³,28.6683,77.1167
2015-07-01 02:30:00,Mandir Marg,Delhi,IN,24.0,µg/m³,28.6341,77.2005
2015-07-01 02:40:00,Anand Vihar,Delhi,IN,39.0,µg/m³,28.6508,77.3152
2015-07-01 03:10:00,Mandir Marg,Delhi,IN,24.0,µg/m³,28.6341,77.2005
2015-07-01 03:10:00,Punjabi Bagh,Delhi,IN,59.0,µg/m³,28.6683,77.1167
2015-07-01 03:10:00,Anand Vihar,Delhi,IN,39.0,µg/m³,28.6508,77.3152
2015-07-01 03:10:00,RK Puram,Delhi,IN,38.0,µg/m³,28.5648,77.1744
2015-07-01 03:30:00,Punjabi Bagh,Delhi,IN,41.0,µg/m³,28.6683,77.1167
2015-07-01 03:30:00,RK Puram,Delhi,IN,41.0,µg/m³,28.5648,77.1744
2015-07-01 03:40:00,Anand Vihar,Delhi,IN,42.0,µg/m³,28.6508,77.3152
2015-07-01 04:10:00,RK Puram,Delhi,IN,41.0,µg/m³,28.5648,77.1744
2015-07-01 04:10:00,Anand Vihar,Delhi,IN,42.0,µg/m³,28.6508,77.3152
2015-07-01 04:10:00,Punjabi Bagh,Delhi,IN,41.0,µg/m³,28.6683,77.1167
2015-07-01 04:30:00,RK Puram,Delhi,IN,37.0,µg/m³,28.5648,77.1744
2015-07-01 04:30:00,Anand Vihar,Delhi,IN,84.0,µg/m³,28.6508,77.3152
2015-07-01 04:30:00,Punjabi Bagh,Delhi,IN,57.0,µg/m³,28.6683,77.1167
2015-07-01 04:30:00,Mandir Marg,Delhi,IN,39.0,µg/m³,28.6341,77.2005
2015-07-01 05:10:00,RK Puram,Delhi,IN,37.0,µg/m³,28.5648,77.1744
2015-07-01 05:20:00,Anand Vihar,Delhi,IN,84.0,µg/m³,28.6508,77.3152
2015-07-01 05:20:00,Mandir Marg,Delhi,IN,39.0,µg/m³,28.6341,77.2005
2015-07-01 05:30:00,Punjabi Bagh,Delhi,IN,43.0,µg/m³,28.6683,77.1167
2015-07-01 05:30:00,RK Puram,Delhi,IN,44.0,µg/m³,28.5648,77.1744
2015-07-01 05:30:00,Mandir Marg,Delhi,IN,56.0,µg/m³,28.6341,77.2005
2015-07-01 05:40:00,Anand Vihar,Delhi,IN,86.0,µg/m³,28.6508,77.3152
2015-07-01 06:10:00,RK Puram,Delhi,IN,44.0,µg/m³,28.5648,77.1744
2015-07-01 06:10:00,Anand Vihar,Delhi,IN,86.0,µg/m³,28.6508,77.3152
2015-07-01 06:10:00,Mandir Marg,Delhi,IN,56.0,µg/m³,28.6341,77.2005
2015-07-01 06:10:00,Punjabi Bagh,Delhi,IN,43.0,µg/m³,28.6683,77.1167
2015-07-01 06:30:00,RK Puram,Delhi,IN,64.0,µg/m³,28.5648,77.1744
2015-07-01 06:30:00,Punjabi Bagh,Delhi,IN,62.0,µg/m³,28.6683,77.1167
2015-07-01 06:30:00,Mandir Marg,Delhi,IN,74.0,µg/m³,28.6341,77.2005
2015-07-01 06:30:00,Anand Vihar,Delhi,IN,104.0,µg/m³,28.6508,77.3152
2015-07-01 07:10:00,RK Puram,Delhi,IN,64.0,µg/m³,28.5648,77.1744
2015-07-01 07:10:00,Punjabi Bagh,Delhi,IN,62.0,µg/m³,28.6683,77.1167
2015-07-01 07:10:00,Mandir Marg,Delhi,IN,74.0,µg/m³,28.6341,77.2005
2015-07-01 07:20:00,Anand Vihar,Delhi,IN,104.0,µg/m³,28.6508,77.3152
2015-07-01 07:30:00,Punjabi Bagh,Delhi,IN,45.0,µg/m³,28.6683,77.1167
2015-07-01 07:30:00,RK Puram,Delhi,IN,56.0,µg/m³,28.5648,77.1744
2015-07-01 07:30:00,Mandir Marg,Delhi,IN,54.0,µg/m³,28.6341,77.2005
2015-07-01 07:40:00,Anand Vihar,Delhi,IN,97.0,µg/m³,28.6508,77.3152
2015-07-01 08:10:00,RK Puram,Delhi,IN,56.0,µg/m³,28.5648,77.1744
2015-07-01 08:10:00,Punjabi Bagh,Delhi,IN,45.0,µg/m³,28.6683,77.1167
2015-07-01 08:10:00,Mandir Marg,Delhi,IN,54.0,µg/m³,28.6341,77.2005
2015-07-01 08:30:00,Mandir Marg,Delhi,IN,72.0,µg/m³,28.6341,77.2005
2015-07-01 08:30:00,Punjabi Bagh,Delhi,IN,121.0,µg/m³,28.6683,77.1167
2015-07-01 08:30:00,RK Puram,Delhi,IN,76.0,µg/m³,28.5648,77.1744
2015-07-01 08:40:00,Anand Vihar,Delhi,IN,88.0,µg/m³,28.6508,77.3152
2015-07-01 09:10:00,RK Puram,Delhi,IN,76.0,µg/m³,28.5648,77.1744
2015-07-01 09:10:00,Mandir Marg,Delhi,IN,72.0,µg/m³,28.6341,77.2005
2015-07-01 09:10:00,Punjabi Bagh,Delhi,IN,121.0,µg/m³,28.6683,77.1167
2015-07-01 09:20:00,Anand Vihar,Delhi,IN,88.0,µg/m³,28.6508,77.3152
2015-07-01 09:30:00,RK Puram,Delhi,IN,76.0,µg/m³,28.5648,77.1744
2015-07-01 09:30:00,Punjabi Bagh,Delhi,IN,86.0,µg/m³,28.6683,77.1167
2015-07-01 09:30:00,Mandir Marg,Delhi,IN,81.0,µg/m³,28.6341,77.2005
2015-07-01 09:40:00,Anand Vihar,Delhi,IN,75.0,µg/m³,28.6508,77.3152
